,Z_OPT_x,ZINDEX_x,Z_OPT_y,ZINDEX_y,ZVALID,ZSUBJECT,Z_FOK_SUBJECT,ZCLIENTHEIGHT,ZCLIENTWIDTH,ZDURATION,ZCHARACTER,Gender,Handedness,Finger
222,9,2,54,222,1,4,73728,443.0,375.0,0.501317024230957,6,0,1,1
223,9,2,55,223,1,4,82944,443.0,375.0,0.1671760082244873,1,0,1,1
224,9,2,55,224,1,4,53248,443.0,375.0,0.2514750361442566,4,0,1,1
225,9,2,54,225,1,4,45056,443.0,375.0,0.5772690176963806,9,0,1,1
226,9,2,54,226,1,4,74752,443.0,375.0,0.2830640077590942,7,0,1,1
227,9,2,59,227,1,4,79872,443.0,375.0,0.5336529612541199,0,0,1,1
228,9,2,59,228,1,4,77824,443.0,375.0,0.6337379813194275,0,0,1,1
229,9,2,54,229,1,4,75776,443.0,375.0,0.4317820072174072,2,0,1,1
230,9,2,54,230,1,4,76800,443.0,375.0,0.6834349632263184,9,0,1,1
231,9,2,54,231,1,4,78848,443.0,375.0,0.6504430174827576,9,0,1,1
232,9,2,55,232,1,4,58368,443.0,375.0,0.6172599792480469,5,0,1,1
233,9,2,59,233,1,4,59392,443.0,375.0,0.6158409714698792,0,0,1,1
234,9,2,55,234,1,4,67584,443.0,375.0,0.6666899919509888,5,0,1,1
235,9,2,55,235,1,4,61440,443.0,375.0,0.2498869895935058,4,0,1,1
236,9,2,55,236,1,4,72704,443.0,375.0,0.1840739846229553,4,0,1,1
237,9,2,56,237,1,4,51200,443.0,375.0,0.4501979947090149,2,0,1,1
238,9,2,54,238,1,4,71680,443.0,375.0,0.714881956577301,8,0,1,1
239,9,2,54,239,1,4,50176,443.0,375.0,0.4503949880599975,6,0,1,1
240,9,3,55,240,1,6,4096,443.0,375.0,0.6007530093193054,4,0,1,0
241,9,3,56,241,1,6,38912,443.0,375.0,0.2004890441894531,1,0,1,0
242,9,3,54,242,1,6,10240,443.0,375.0,0.5498220324516296,6,0,1,0
243,9,3,54,243,1,6,30720,443.0,375.0,0.2838059663772583,9,0,1,0
244,9,3,55,244,1,6,20480,443.0,375.0,0.6171179413795471,4,0,1,0
245,9,3,55,245,1,6,32768,443.0,375.0,0.583340048789978,2,0,1,0
246,9,3,60,246,1,6,25600,443.0,375.0,0.5506419539451599,0,0,1,0
247,9,3,54,247,1,6,5120,443.0,375.0,0.467786967754364,7,0,1,0
248,9,3,61,248,1,6,21504,443.0,375.0,0.5494799613952637,0,0,1,0
249,9,3,54,249,1,6,14336,443.0,375.0,0.4670380353927612,6,0,1,0
250,9,3,55,250,1,6,40960,443.0,375.0,0.6004369854927063,5,0,1,0
251,9,3,56,251,1,6,29696,443.0,375.0,0.6164500117301941,2,0,1,0
252,9,3,55,252,1,6,11264,443.0,375.0,0.6168099641799927,2,0,1,0
253,9,3,55,253,1,6,34816,443.0,375.0,0.6650609970092773,5,0,1,0
254,9,3,54,254,1,6,19456,443.0,375.0,0.3845409750938415,7,0,1,0
255,9,3,54,255,1,6,24576,443.0,375.0,0.9501659870147704,8,0,1,0
256,9,3,54,256,1,6,33792,443.0,375.0,0.6337779760360718,6,0,1,0
257,9,3,56,257,1,6,22528,443.0,375.0,0.1834169626235962,1,0,1,0
258,9,3,55,258,1,6,6144,443.0,375.0,0.6504830121994019,2,0,1,0
259,9,3,59,259,1,6,7168,443.0,375.0,0.600633978843689,0,0,1,0
260,9,3,55,260,1,6,35840,443.0,375.0,0.5162929892539978,3,0,1,0
261,9,3,56,261,1,6,36864,443.0,375.0,0.1493239998817443,1,0,1,0
262,9,3,54,262,1,6,12288,443.0,375.0,0.3501309752464294,7,0,1,0
263,9,3,56,263,1,6,8192,443.0,375.0,0.2339499592781067,1,0,1,0
264,9,3,54,264,1,6,9216,443.0,375.0,0.4995709657669067,4,0,1,0
265,9,3,54,265,1,6,13312,443.0,375.0,0.3496430516242981,7,0,1,0
266,9,3,54,266,1,6,31744,443.0,375.0,0.5507820248603821,4,0,1,0
267,9,3,54,267,1,6,37888,443.0,375.0,0.6008639931678772,3,0,1,0
268,9,3,54,268,1,6,27648,443.0,375.0,0.6978499889373779,8,0,1,0
269,9,3,55,269,1,6,3072,443.0,375.0,0.8155909776687622,5,0,1,0
270,9,3,55,270,1,6,16384,443.0,375.0,0.7672980427742004,5,0,1,0
271,9,3,54,271,1,6,41984,443.0,375.0,0.2671629786491394,9,0,1,0
272,9,3,54,272,1,6,17408,443.0,375.0,0.7668209671974182,8,0,1,0
273,9,3,55,273,1,6,39936,443.0,375.0,0.5342530012130737,3,0,1,0
274,9,3,60,274,1,6,26624,443.0,375.0,0.5493720173835754,0,0,1,0
275,9,3,54,275,1,6,28672,443.0,375.0,0.3316879868507385,9,0,1,0
276,9,3,54,276,1,6,2048,443.0,375.0,0.6337969899177551,9,0,1,0
277,9,3,55,277,1,6,18432,443.0,375.0,0.5674360394477844,3,0,1,0
278,9,3,54,278,1,6,23552,443.0,375.0,0.7342450022697449,6,0,1,0
279,9,3,54,279,1,6,15360,443.0,375.0,1.0997520089149475,8,0,1,0
280,9,3,54,280,1,6,48128,443.0,375.0,0.4666639566421509,7,0,1,1
281,9,3,55,281,1,6,75776,443.0,375.0,0.5498989820480347,2,0,1,1
282,9,3,54,282,1,6,74752,443.0,375.0,0.6494659781455994,6,0,1,1
283,9,3,54,283,1,6,67584,443.0,375.0,1.0501890182495115,8,0,1,1
284,9,3,54,284,1,6,58368,443.0,375.0,0.3681830167770386,7,0,1,1
285,9,3,54,285,1,6,62464,443.0,375.0,0.4499630331993103,9,0,1,1
286,9,3,54,286,1,6,64512,443.0,375.0,1.0510669946670532,8,0,1,1
287,9,3,55,287,1,6,57344,443.0,375.0,0.6346889734268188,5,0,1,1
288,9,3,55,288,1,6,63488,443.0,375.0,0.5842560529708862,3,0,1,1
289,9,3,54,289,1,6,61440,443.0,375.0,0.6668800115585327,3,0,1,1
290,9,3,55,290,1,6,60416,443.0,375.0,0.6998920440673828,5,0,1,1
